 CAT,  YEAR, MO, DAY, ORIG_TIME,  LAT,  LON, DEP, MAG, IEFM, DTS, DIST
 PDE,   1983,   01, 13, 120915.37,  12.04,  -73.45,  28, 4.70, mb, GS,   .F .       
 PDE,   1983,   01, 14, 095939.02,  12.04,  -73.34,  33, 4.40, mb, GS,   .. .       
 PDE,   1983,   01, 15, 073931.91,   6.74,  -72.97, 177,     ,   ,   ,   .. .       
 PDE,   1983,   01, 16, 091113.28,   6.77,  -73.05, 170, 4.20, mb, GS,   .. .       
 PDE,   1983,   01, 21, 111037.60,  10.08,  -72.47, 177, 3.80, mb, GS,   .. .       
 PDE,   1983,   02, 09, 004734.47,  12.37,  -73.26,  33, 4.60, mb, GS,   .. .       
 PDE,   1983,   02, 17, 025057.21,  10.39,  -62.59,  33,     ,   ,   ,   .. .       
 PDE,   1983,   03, 07, 231410.99,   6.83,  -73.02, 161, 4.90, mb, GS,   .. .       
 PDE,   1983,   03, 08, 072210.94,   6.88,  -73.04, 159, 4.30, mb, GS,   .. .       
 PDE,   1983,   03, 08, 170636.52,  11.01,  -62.36,  82, 5.90, mb, GS,   6CFM       
 PDE,   1983,   03, 09, 193011.44,   6.84,  -73.04, 167, 4.70, mb, GS,   .. .       
 PDE,   1983,   03, 15, 142510.05,   6.86,  -73.07, 162, 4.00, mb, GS,   .. .       
 PDE,   1983,   03, 17, 050929.22,   6.89,  -73.09, 161, 4.30, mb, GS,   .. .       
 PDE,   1983,   03, 19, 030026.34,  10.61,  -63.19,  29, 4.80, mb, GS,   .. .       
 PDE,   1983,   03, 26, 092010.61,  11.17,  -62.12,  97, 4.90, mb, GS,   4F .       
 PDE,   1983,   03, 29, 080829.79,   7.55,  -72.61,  33,     ,   ,   ,   .. .       
 PDE,   1983,   03, 31, 074959.72,   6.81,  -73.01, 162, 4.50, mb, GS,   .. .       
 PDE,   1983,   04, 08, 021928.43,   6.66,  -73.07, 189, 4.20, mb, GS,   .. .       
 PDE,   1983,   04, 11, 080606.09,  10.43,  -62.76,  38, 4.80, mb, GS,   .. .       
 PDE,   1983,   04, 11, 081539.86,   9.77,  -62.36,  33, 4.40, mb, GS,   .. .       
 PDE,   1983,   04, 11, 081810.12,  10.42,  -62.76,  40, 6.10, MS,BRK,   5FFM       
 PDE,   1983,   04, 11, 084255.94,  10.35,  -62.77,  33, 4.20, mb, GS,   .. .       
 PDE,   1983,   04, 11, 095406.01,  10.86,  -63.13,  33,     ,   ,   ,   .. .       
 PDE,   1983,   04, 12, 055602.46,  10.32,  -62.69,  33, 4.20, mb, GS,   .. .       
 PDE,   1983,   04, 20, 140611.09,   6.88,  -72.86, 150, 4.80, mb, GS,   .. .       
 PDE,   1983,   04, 30, 041649.62,   6.73,  -72.94, 169, 4.60, mb, GS,   .. .       
 PDE,   1983,   05, 02, 215552.56,  10.38,  -62.67,  33, 4.50, mb, GS,   .. .       
 PDE,   1983,   05, 10, 173908.76,  10.98,  -62.18, 126,     ,   ,   ,   3F .       
 PDE,   1983,   05, 19, 232214.51,   6.75,  -72.96, 163, 5.10, mb, GS,   .F .       
 PDE,   1983,   05, 28, 160154.82,   6.64,  -72.87, 178, 5.00, mb, GS,   .. .       
 PDE,   1983,   05, 28, 194818.24,   6.86,  -73.03, 165, 4.70, mb, GS,   .. .       
 PDE,   1983,   06, 07, 231416.02,   6.43,  -73.32, 139, 4.60, mb, GS,   .. .       
 PDE,   1983,   06, 09, 203830.14,   6.76,  -72.94, 178, 4.70, mb, GS,   .F .       
 PDE,   1983,   06, 13, 061434.91,   6.80,  -72.95, 177, 4.80, mb, GS,   .. .       
 PDE,   1983,   06, 15, 073725.06,   6.86,  -73.04, 166, 4.40, mb, GS,   .. .       
 PDE,   1983,   06, 15, 083318.45,   8.11,  -71.87,  46, 4.80, mb, GS,   .. .       
 PDE,   1983,   06, 15, 083324.57,   8.12,  -71.94,  43, 5.10, mb, GS,   .F .       
 PDE,   1983,   07, 23, 212944.38,   6.88,  -73.07, 158, 4.70, mb, GS,   .. .       
 PDE,   1983,   07, 24, 153945.29,   6.82,  -73.06, 163, 4.90, mb, GS,   .. .       
 PDE,   1983,   08, 14, 050552.29,   9.00,  -73.99,  99, 5.00, mb, GS,   .. .       
 PDE,   1983,   08, 21, 000046.87,   6.92,  -73.13, 150,     ,   ,   ,   .. .       
 PDE,   1983,   08, 23, 192118.56,   6.95,  -73.20, 144,     ,   ,   ,   .. .       
 PDE,   1983,   08, 29, 082424.36,   6.79,  -73.00, 164, 5.00, mb, GS,   .F M       
 PDE,   1983,   08, 31, 041605.50,   6.24,  -71.66,  33,     ,   ,   ,   .. .       
 PDE,   1983,   09, 14, 141156.81,  10.00,  -64.69,  33, 3.40, mb, GS,   .. .       
 PDE,   1983,   10, 07, 165032.44,   6.72,  -73.00, 169, 4.10, mb, GS,   .. .       
 PDE,   1983,   10, 19, 114044.32,   6.71,  -72.94, 147,     ,   ,   ,   .. .       
 PDE,   1983,   10, 24, 005824.80,   7.08,  -73.38, 147, 4.40, mb, GS,   .. .       
 PDE,   1983,   10, 24, 041331.09,   6.76,  -73.04, 165, 4.60, mb, GS,   .. .       
 PDE,   1983,   11, 06, 193830.22,   7.47,  -73.18, 142, 4.70, mb, GS,   .. .       
 PDE,   1983,   11, 11, 145709.42,   7.19,  -73.58, 172,     ,   ,   ,   .. .       
 PDE,   1983,   11, 18, 004454.36,   6.93,  -73.14, 153, 4.40, mb, GS,   .. .       
 PDE,   1983,   11, 18, 083201.17,   6.90,  -73.13, 158, 4.80, mb, GS,   .. .       
 PDE,   1983,   12, 07, 163933.31,   6.82,  -72.98, 167,     ,   ,   ,   .. .       
 PDE,   1983,   12, 13, 121821.99,   6.84,  -73.14, 168, 4.50, mb, GS,   .. .       
 PDE,   1983,   12, 20, 165345.57,  12.18,  -69.81,  14, 4.80, mb, GS,   .F .       
 PDE,   1983,   12, 31, 121805.04,   6.85,  -73.04, 164, 4.70, mb, GS,   .. .       
 PDE,   1984,   01, 06, 113749.10,   6.76,  -73.01, 159, 5.00, mb, GS,   .F .       
 PDE,   1984,   01, 07, 022303.53,  10.85,  -65.62,  33,     ,   ,   ,   .. .       
 PDE,   1984,   01, 15, 201408.31,  10.97,  -60.65,  49, 4.70, mb, GS,   .. .       
 PDE,   1984,   01, 16, 182632.26,   7.10,  -73.35, 138, 4.40, mb, GS,   .. .       
 PDE,   1984,   01, 23, 213649.83,  10.69,  -62.79, 112, 4.90, mb, GS,   3F .       
 PDE,   1984,   01, 30, 192735.17,  12.99,  -61.46,  33,     ,   ,   ,   .. .       
 PDE,   1984,   02, 07, 025730.69,   6.92,  -73.15, 170,     ,   ,   ,   .. .       
 PDE,   1984,   02, 11, 135745.03,  12.09,  -60.03,  62, 5.30, mb, GS,   4F M       
 PDE,   1984,   02, 26, 071929.71,   6.82,  -73.01, 161, 4.90, mb, GS,   .. .       
 PDE,   1984,   03, 02, 025821.43,   6.81,  -73.00, 172, 4.80, mb, GS,   .F .       
 PDE,   1984,   03, 02, 233751.13,   7.01,  -73.33, 149,     ,   ,   ,   .. .       
 PDE,   1984,   03, 08, 164617.58,  11.12,  -60.92,  33,     ,   ,   ,   .. .       
 PDE,   1984,   03, 09, 174827.09,  11.05,  -61.68,  81, 4.20, mb, GS,   4F .       
 PDE,   1984,   03, 13, 025821.97,  10.60,  -62.30,  33,     ,   ,   ,   .. .       
 PDE,   1984,   03, 19, 085124.34,  10.28,  -62.92,  33,     ,   ,   ,   .. .       
 PDE,   1984,   03, 21, 112052.79,   6.72,  -72.99, 172, 4.80, mb, GS,   .F .       
 PDE,   1984,   04, 01, 113000.25,   6.74,  -72.99, 170, 4.40, mb, GS,   .. .       
 PDE,   1984,   04, 11, 003923.08,   6.80,  -72.96, 172, 4.10, mb, GS,   .. .       
 PDE,   1984,   04, 14, 205559.85,   6.75,  -73.07, 168, 4.90, mb, GS,   .F .       
 PDE,   1984,   04, 20, 091819.51,  11.91,  -73.56,  41, 4.90, mb, GS,   .F .       
 PDE,   1984,   04, 22, 004313.33,   6.74,  -72.98, 175, 4.40, mb, GS,   .. .       
 PDE,   1984,   04, 22, 143354   ,   6.94,  -73.18, 166, 4.70, mb, GS,   .. .       
 PDE,   1984,   04, 24, 140945.70,   6.69,  -71.70,  43, 5.10, mb, GS,   .F .       
 PDE,   1984,   04, 24, 145640.17,   6.55,  -71.53,  62,     ,   ,   ,   .. .       
 PDE,   1984,   04, 29, 222218.93,   9.44,  -70.14,  33,     ,   ,   ,   .F .       
 PDE,   1984,   04, 30, 125942.82,   9.60,  -70.16,  33,     ,   ,   ,   .. .       
 PDE,   1984,   05, 04, 115352.09,   9.79,  -70.10,  33,     ,   ,   ,   .F .       
 PDE,   1984,   05, 11, 041556.50,  11.97,  -61.14,  81,     ,   ,   ,   .. .       
 PDE,   1984,   05, 21, 033037.53,   6.63,  -72.80, 182, 4.50, mb, GS,   .. .       
 PDE,   1984,   05, 23, 002119.41,   6.89,  -73.12, 164, 4.20, mb, GS,   .. .       
 PDE,   1984,   05, 25, 005924.03,  10.43,  -62.53,  42, 4.80, mb, GS,   .F .       
 PDE,   1984,   05, 28, 052417.79,   7.01,  -73.35, 142,     ,   ,   ,   .. .       
 PDE,   1984,   05, 29, 043405.78,   6.89,  -73.19, 168, 4.70, mb, GS,   .. .       
 PDE,   1984,   06, 12, 230855.34,   7.94,  -71.28,  35, 4.80, mb, GS,   .F .       
 PDE,   1984,   06, 14, 100426.42,  10.00,  -69.70,  12, 5.30, mb, GS,   .F M       
 PDE,   1984,   06, 14, 105812.90,   9.78,  -69.86,  10,     ,   ,   ,   .F .       
 PDE,   1984,   06, 20, 013524.63,   6.90,  -71.96,  48,     ,   ,   ,   .. .       
 PDE,   1984,   06, 21, 091300.73,   9.67,  -69.91,  33,     ,   ,   ,   .F .       
 PDE,   1984,   06, 22, 031319.97,   6.92,  -73.23, 161,     ,   ,   ,   .. .       
 PDE,   1984,   07, 24, 091708.51,   7.13,  -71.90, 120, 4.20, mb, GS,   .. .       
 PDE,   1984,   08, 10, 002744.01,   6.83,  -72.60, 186,     ,   ,   ,   .. .       
 PDE,   1984,   08, 11, 131420.59,   6.77,  -73.01, 170, 4.70, mb, GS,   .F .       
 PDE,   1984,   08, 20, 232930.10,  10.38,  -62.41,  18, 5.10, mb, GS,   3F .       
 PDE,   1984,   08, 20, 235510.99,  10.42,  -62.38,  10, 5.20, mb, GS,   3F M       
 PDE,   1984,   09, 01, 064230.58,   6.57,  -72.76, 185,     ,   ,   ,   .. .       
 PDE,   1984,   09, 03, 165929.58,   6.75,  -73.01, 168, 4.70, mb, GS,   .F .       
 PDE,   1984,   09, 07, 184751.21,   7.28,  -73.65, 136,     ,   ,   ,   .. .       
 PDE,   1984,   09, 20, 093623.87,   6.89,  -73.14, 157, 4.80, mb, GS,   .. .       
 PDE,   1984,   10, 02, 203024.73,   6.84,  -73.02, 169, 4.50, mb, GS,   .F .       
 PDE,   1984,   10, 05, 103050.29,  11.69,  -60.17,  58, 5.60, mb, GS,   .F M       
 PDE,   1984,   10, 16, 121102.41,   6.88,  -73.12, 159, 4.60, mb, GS,   .F .       
 PDE,   1984,   11, 02, 065330.07,   8.24,  -71.24,  10, 4.60, mb, GS,   .F .       
 PDE,   1984,   11, 04, 131419.80,   6.78,  -73.04, 163, 5.10, mb, GS,   .F M       
 PDE,   1984,   11, 13, 083344.63,  10.98,  -69.40,  33, 4.20, mb, GS,   .. .       
 PDE,   1984,   11, 14, 062249.22,  10.02,  -68.88, 158,     ,   ,   ,   .. .       
 PDE,   1984,   11, 14, 140329.20,  10.92,  -62.25, 121,     ,   ,   ,   .. .       
 PDE,   1984,   11, 18, 230003.76,   8.79,  -73.15, 154, 4.80, mb, GS,   .F .       
 PDE,   1984,   12, 06, 005656.99,   6.93,  -73.15, 155, 4.30, mb, GS,   .. .       
 PDE,   1984,   12, 09, 144529.19,   6.84,  -73.03, 159, 4.80, mb, GS,   .F .       
 PDE,   1984,   12, 30, 051307.32,   6.78,  -73.07, 160, 4.80, mb, GS,   .F .       
 PDE,   1985,   01, 18, 060248.29,   7.01,  -73.28, 150,     ,   ,   ,   .. .       
 PDE,   1985,   01, 20, 130301.30,  10.55,  -62.44, 104, 4.50, mb, GS,   .. .       
 PDE,   1985,   01, 24, 223142.58,  10.71,  -62.21,  26, 4.90, mb, GS,   3F .       
